location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total
unit,°C,mm,%,km/h,°,%
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total
20240113T0500,-5.7197547,0.0,91.93139,4.39436,145.00798,69.0
20240113T0600,-6.119755,0.0,93.47709,4.198285,149.03624,69.0
20240113T0700,-6.039755,0.0,93.628914,3.7064266,150.94539,71.0
20240113T0800,-7.249755,0.0,94.632065,3.8773184,158.1986,68.0
20240113T0900,-7.269755,0.0,93.67189,4.510787,151.38954,27.0
20240113T1000,-5.0697546,0.0,90.93498,3.6179552,174.28941,34.0
20240113T1100,-3.9197545,0.0,86.49453,4.32,180.0,21.0
20240113T1200,-2.9497547,0.0,83.31285,4.2136917,199.98311,22.0
20240113T1300,-2.4497547,0.0,83.071556,5.154415,204.77515,15.0
20240113T1400,-2.0897546,0.0,80.387764,5.154415,204.77515,6.0
20240113T1500,-1.8897547,0.0,79.38657,4.802999,192.99461,7.0
20240113T1600,-1.9797546,0.0,81.57829,5.3999996,180.0,4.0
20240113T1700,-3.769755,0.0,87.9858,5.4477882,172.40535,4.0
20240113T1800,-4.709755,0.0,91.603096,5.8048253,172.87498,3.0
20240113T1900,-4.709755,0.0,91.603096,6.87779,173.991,2.0
20240113T2000,-4.749755,0.0,91.037415,6.924738,171.02737,0.6
20240113T2100,-4.869755,0.0,90.18758,6.28713,166.75948,1.0
20240113T2200,-4.8997545,0.0,88.66583,5.5887027,165.06857,3.0
20240113T2300,-5.1497545,0.0,88.77352,6.28713,166.75948,2.0
20240114T0000,-5.269755,0.0,88.621864,6.28713,166.75948,6.0
20240114T0100,-5.619755,0.0,89.34037,6.725354,164.47589,11.0
20240114T0200,-6.099755,0.0,89.77367,6.725354,164.47589,20.0
20240114T0300,-6.349755,0.0,88.83815,6.924738,171.02737,13.0
20240114T0400,-6.499755,0.0,89.308235,6.489992,176.82018,18.0
20240114T0500,-6.459755,0.0,87.925064,5.8603754,169.38034,15.0
20240114T0600,-6.6597548,0.0,87.41776,6.6185193,157.61987,8.0
20240114T0700,-6.6297545,0.0,86.73746,6.489992,146.30994,11.0
20240114T0800,-6.079755,0.0,83.408844,5.3999996,143.1301,7.0
